Project Name,Language,Testament,Book,Stage,TotalTarget
Paschim Project,Kukna,OT,Genesis,Stage 1 (Drafting),1533
Paschim Project,Kukna,OT,Genesis,Stage 2 (Community Check),1533
Paschim Project,Kukna,OT,Genesis,Stage 3 (Linguist Check),1533
Paschim Project,Kukna,OT,Genesis,Stage 4 (Theological Check),1533
Paschim Project,Kukna,OT,Genesis,Stage 4 (Consultant Check),1533
Paschim Project,Kukna,OT,Genesis,Stage 5 (Formatting Editing & Publishing),1533
Paschim Project,Kukna,OT,Exodus,Stage 1 (Drafting),1213
Paschim Project,Kukna,OT,Exodus,Stage 2 (Community Check),1213
Paschim Project,Kukna,OT,Exodus,Stage 3 (Linguist Check),1213
Paschim Project,Kukna,OT,Exodus,Stage 4 (Theological Check),1213
Paschim Project,Kukna,OT,Exodus,Stage 4 (Consultant Check),1213
Paschim Project,Kukna,OT,Exodus,Stage 5 (Formatting Editing & Publishing),1213
Paschim Project,Kukna,OT,Leviticus,Stage 1 (Drafting),859
Paschim Project,Kukna,OT,Leviticus,Stage 2 (Community Check),859
Paschim Project,Kukna,OT,Leviticus,Stage 3 (Linguist Check),859
Paschim Project,Kukna,OT,Leviticus,Stage 4 (Theological Check),859
Paschim Project,Kukna,OT,Leviticus,Stage 4 (Consultant Check),859
Paschim Project,Kukna,OT,Leviticus,Stage 5 (Formatting Editing & Publishing),859
Paschim Project,Kukna,OT,Numbers,Stage 1 (Drafting),1288
Paschim Project,Kukna,OT,Numbers,Stage 2 (Community Check),1288
Paschim Project,Kukna,OT,Numbers,Stage 3 (Linguist Check),1288
Paschim Project,Kukna,OT,Numbers,Stage 4 (Theological Check),1288
Paschim Project,Kukna,OT,Numbers,Stage 4 (Consultant Check),1288
Paschim Project,Kukna,OT,Numbers,Stage 5 (Formatting Editing & Publishing),1288
Paschim Project,Kukna,OT,Deuteronomy,Stage 1 (Drafting),959
Paschim Project,Kukna,OT,Deuteronomy,Stage 2 (Community Check),959
Paschim Project,Kukna,OT,Deuteronomy,Stage 3 (Linguist Check),959
Paschim Project,Kukna,OT,Deuteronomy,Stage 4 (Theological Check),959
Paschim Project,Kukna,OT,Deuteronomy,Stage 4 (Consultant Check),959
Paschim Project,Kukna,OT,Deuteronomy,Stage 5 (Formatting Editing & Publishing),959
Paschim Project,Kukna,OT,Joshua,Stage 1 (Drafting),658
Paschim Project,Kukna,OT,Joshua,Stage 2 (Community Check),658
Paschim Project,Kukna,OT,Joshua,Stage 3 (Linguist Check),658
Paschim Project,Kukna,OT,Joshua,Stage 4 (Theological Check),658
Paschim Project,Kukna,OT,Joshua,Stage 4 (Consultant Check),658
Paschim Project,Kukna,OT,Joshua,Stage 5 (Formatting Editing & Publishing),658
Paschim Project,Kukna,OT,Judges,Stage 1 (Drafting),618
Paschim Project,Kukna,OT,Judges,Stage 2 (Community Check),618
Paschim Project,Kukna,OT,Judges,Stage 3 (Linguist Check),618
Paschim Project,Kukna,OT,Judges,Stage 4 (Theological Check),618
Paschim Project,Kukna,OT,Judges,Stage 4 (Consultant Check),618
Paschim Project,Kukna,OT,Judges,Stage 5 (Formatting Editing & Publishing),618
Paschim Project,Kukna,OT,Ruth,Stage 1 (Drafting),85
Paschim Project,Kukna,OT,Ruth,Stage 2 (Community Check),85
Paschim Project,Kukna,OT,Ruth,Stage 3 (Linguist Check),85
Paschim Project,Kukna,OT,Ruth,Stage 4 (Theological Check),85
Paschim Project,Kukna,OT,Ruth,Stage 4 (Consultant Check),85
Paschim Project,Kukna,OT,Ruth,Stage 5 (Formatting Editing & Publishing),85
Paschim Project,Kukna,OT,1 Samuel,Stage 1 (Drafting),810
Paschim Project,Kukna,OT,1 Samuel,Stage 2 (Community Check),810
Paschim Project,Kukna,OT,1 Samuel,Stage 3 (Linguist Check),810
Paschim Project,Kukna,OT,1 Samuel,Stage 4 (Theological Check),810
Paschim Project,Kukna,OT,1 Samuel,Stage 4 (Consultant Check),810
Paschim Project,Kukna,OT,1 Samuel,Stage 5 (Formatting Editing & Publishing),810
Paschim Project,Kukna,OT,2 Samuel,Stage 1 (Drafting),695
Paschim Project,Kukna,OT,2 Samuel,Stage 2 (Community Check),695
Paschim Project,Kukna,OT,2 Samuel,Stage 3 (Linguist Check),695
Paschim Project,Kukna,OT,2 Samuel,Stage 4 (Theological Check),695
Paschim Project,Kukna,OT,2 Samuel,Stage 4 (Consultant Check),695
Paschim Project,Kukna,OT,2 Samuel,Stage 5 (Formatting Editing & Publishing),695
Paschim Project,Kukna,OT,1 Kings,Stage 1 (Drafting),816
Paschim Project,Kukna,OT,1 Kings,Stage 2 (Community Check),816
Paschim Project,Kukna,OT,1 Kings,Stage 3 (Linguist Check),816
Paschim Project,Kukna,OT,1 Kings,Stage 4 (Theological Check),816
Paschim Project,Kukna,OT,1 Kings,Stage 4 (Consultant Check),816
Paschim Project,Kukna,OT,1 Kings,Stage 5 (Formatting Editing & Publishing),816
Paschim Project,Kukna,OT,2 Kings,Stage 1 (Drafting),719
Paschim Project,Kukna,OT,2 Kings,Stage 2 (Community Check),719
Paschim Project,Kukna,OT,2 Kings,Stage 3 (Linguist Check),719
Paschim Project,Kukna,OT,2 Kings,Stage 4 (Theological Check),719
Paschim Project,Kukna,OT,2 Kings,Stage 4 (Consultant Check),719
Paschim Project,Kukna,OT,2 Kings,Stage 5 (Formatting Editing & Publishing),719
Paschim Project,Kukna,OT,1 Chronicles,Stage 1 (Drafting),942
Paschim Project,Kukna,OT,1 Chronicles,Stage 2 (Community Check),942
Paschim Project,Kukna,OT,1 Chronicles,Stage 3 (Linguist Check),942
Paschim Project,Kukna,OT,1 Chronicles,Stage 4 (Theological Check),942
Paschim Project,Kukna,OT,1 Chronicles,Stage 4 (Consultant Check),942
Paschim Project,Kukna,OT,1 Chronicles,Stage 5 (Formatting Editing & Publishing),942
Paschim Project,Kukna,OT,2 Chronicles,Stage 1 (Drafting),822
Paschim Project,Kukna,OT,2 Chronicles,Stage 2 (Community Check),822
Paschim Project,Kukna,OT,2 Chronicles,Stage 3 (Linguist Check),822
Paschim Project,Kukna,OT,2 Chronicles,Stage 4 (Theological Check),822
Paschim Project,Kukna,OT,2 Chronicles,Stage 4 (Consultant Check),822
Paschim Project,Kukna,OT,2 Chronicles,Stage 5 (Formatting Editing & Publishing),822
Paschim Project,Kukna,OT,Ezra,Stage 1 (Drafting),280
Paschim Project,Kukna,OT,Ezra,Stage 2 (Community Check),280
Paschim Project,Kukna,OT,Ezra,Stage 3 (Linguist Check),280
Paschim Project,Kukna,OT,Ezra,Stage 4 (Theological Check),280
Paschim Project,Kukna,OT,Ezra,Stage 4 (Consultant Check),280
Paschim Project,Kukna,OT,Ezra,Stage 5 (Formatting Editing & Publishing),280
Paschim Project,Kukna,OT,Nehemiah,Stage 1 (Drafting),406
Paschim Project,Kukna,OT,Nehemiah,Stage 2 (Community Check),406
Paschim Project,Kukna,OT,Nehemiah,Stage 3 (Linguist Check),406
Paschim Project,Kukna,OT,Nehemiah,Stage 4 (Theological Check),406
Paschim Project,Kukna,OT,Nehemiah,Stage 4 (Consultant Check),406
Paschim Project,Kukna,OT,Nehemiah,Stage 5 (Formatting Editing & Publishing),406
Paschim Project,Kukna,OT,Esther,Stage 1 (Drafting),167
Paschim Project,Kukna,OT,Esther,Stage 2 (Community Check),167
Paschim Project,Kukna,OT,Esther,Stage 3 (Linguist Check),167
Paschim Project,Kukna,OT,Esther,Stage 4 (Theological Check),167
Paschim Project,Kukna,OT,Esther,Stage 4 (Consultant Check),167
Paschim Project,Kukna,OT,Esther,Stage 5 (Formatting Editing & Publishing),167
Paschim Project,Kukna,OT,Job,Stage 1 (Drafting),1070
Paschim Project,Kukna,OT,Job,Stage 2 (Community Check),1070
Paschim Project,Kukna,OT,Job,Stage 3 (Linguist Check),1070
Paschim Project,Kukna,OT,Job,Stage 4 (Theological Check),1070
Paschim Project,Kukna,OT,Job,Stage 4 (Consultant Check),1070
Paschim Project,Kukna,OT,Job,Stage 5 (Formatting Editing & Publishing),1070
Paschim Project,Kukna,OT,Psalms,Stage 1 (Drafting),2461
Paschim Project,Kukna,OT,Psalms,Stage 2 (Community Check),2461
Paschim Project,Kukna,OT,Psalms,Stage 3 (Linguist Check),2461
Paschim Project,Kukna,OT,Psalms,Stage 4 (Theological Check),2461
Paschim Project,Kukna,OT,Psalms,Stage 4 (Consultant Check),2461
Paschim Project,Kukna,OT,Psalms,Stage 5 (Formatting Editing & Publishing),2461
Paschim Project,Kukna,OT,Proverbs,Stage 1 (Drafting),915
Paschim Project,Kukna,OT,Proverbs,Stage 2 (Community Check),915
Paschim Project,Kukna,OT,Proverbs,Stage 3 (Linguist Check),915
Paschim Project,Kukna,OT,Proverbs,Stage 4 (Theological Check),915
Paschim Project,Kukna,OT,Proverbs,Stage 4 (Consultant Check),915
Paschim Project,Kukna,OT,Proverbs,Stage 5 (Formatting Editing & Publishing),915
